iter	Passed	Remaining
0	171	342822
1	292	292172
2	439	292323
3	571	285229
4	707	282327
5	848	281996
6	992	282577
7	1127	280703
8	1267	280353
9	1406	279946
10	1554	281074
11	1688	279803
12	1828	279543
13	1935	274629
14	2086	276132
15	2236	277286
16	2385	278278
17	2545	280234
18	2692	280729
19	2848	282006
20	2993	282082
21	3141	282489
22	3288	282681
23	3404	280277
24	3552	280680
25	3707	281488
26	3854	281632
27	4018	282983
28	4166	283154
29	4307	282861
30	4452	282814
31	4512	277512
32	4656	277584
33	4803	277736
34	4964	278705
35	5121	279412
36	5278	280062
37	5424	280077
38	5575	280351
39	5727	280641
40	5873	280633
41	6023	280817
42	6188	281654
43	6358	282649
44	6505	282643
45	6672	283440
46	6889	286300
47	7057	287001
48	7222	287564
49	7362	287118
50	7510	287004
51	7646	286444
52	7794	286333
53	7929	285743
54	8062	285135
55	8193	284422
56	8334	284090
57	8475	283779
58	8733	287333
59	8987	290588
60	9221	293113
61	9378	293139
62	9523	292796
63	9677	292745
64	9926	295495
65	10149	297401
66	10391	299813
67	10843	308076
68	11063	309606
69	11327	312316
70	11502	312519
71	11637	311636
72	11782	311026
73	11937	310708
74	12110	310830
75	12304	311486
76	12459	311156
77	12606	310649
78	12762	310330
79	12921	310107
80	13208	312931
81	13534	316580
82	13733	317185
83	13895	316951
84	14034	316193
85	14177	315536
86	14323	314944
87	14512	315308
88	14657	314733
89	14803	314167
90	14959	313824
91	15106	313289
92	15261	312949
93	15404	312345
94	15573	312295
95	15737	312123
96	15934	312606
97	16099	312454
98	16255	312146
99	16399	311595
100	16539	310980
101	16697	310705
102	16850	310336
103	17000	309931
104	17158	309665
105	17388	310687
106	17556	310610
107	17733	310672
108	17914	310790
109	18050	310144
110	18189	309551
111	18347	309284
112	18488	308746
113	18652	308582
114	18785	307911
115	18918	307261
116	19063	306801
117	19194	306133
118	19353	305918
119	19490	305352
120	19626	304785
121	19779	304470
122	19944	304350
123	20149	304836
124	20299	304498
125	20460	304315
126	20605	303887
127	20648	301981
128	20786	301485
129	20936	301161
130	21085	300836
131	21231	300464
132	21413	300587
133	21547	300059
134	21682	299538
135	21831	299216
136	21972	298798
137	22019	297098
138	22144	296482
139	22287	296099
140	22451	296006
141	22622	296009
142	22793	296000
143	22956	295890
144	23112	295683
145	23275	295571
146	23439	295467
147	23588	295178
148	23722	294704
149	23886	294598
150	24046	294448
151	24199	294213
152	24341	293846
153	24492	293587
154	24661	293555
155	24815	293330
156	24970	293124
157	25126	292932
158	25272	292614
159	25527	293561
160	25797	294662
161	26495	300608
162	27088	305285
163	27551	308439
164	27973	311099
165	28133	310823
166	28295	310575
167	28483	310611
168	28633	310220
169	28771	309713
170	28906	309180
171	29034	308571
172	29158	307931
173	29284	307314
174	29409	306701
175	29536	306100
176	29657	305454
177	29778	304813
178	29935	304535
179	30051	303857
180	30174	303248
181	30299	302659
182	30419	302031
183	30540	301419
184	30657	300776
185	30779	300180
186	30899	299575
187	31019	298977
188	31139	298379
189	31218	297401
190	31337	296799
191	31453	296186
192	31565	295539
